sire,section,line,country,f_sire,f_dam,f_damsire,baba_pos,dirt_pos,distance_pos,catchphrase,aim,comment
ハットトリック,注目種牡馬(現役種牡馬 五十音),サンデーサイレンス系,追分産,サンデーサイレンス,トリッキーコードUSA,Lost Code,,,,,サンプル不足,25年は唯一の現役馬エアファンディタがリステッドのまほろばSを勝つなど芝のマイルを中心に活躍。海外でも産駒が多く活躍するが、日本ではここまでの成績を見ると、中央の勝ち鞍は全て芝で距離は1600〜1800m。コースも勝ち鞍のほとんどが京都と阪神で、東京、中山は苦手としている。2〜3歳より古馬になって活躍するタイプ。
ハリーエンジェル,,ノーザンダンサー系,英国産,Dark Angel,Beatrix Potter,Cadeaux Genereux,,,,,デビュー2戦目ミルリーフSで重賞初勝利。ゴドルフィンへトレード後ジュライCでは2番手から抜け出し、不敗の6連勝中だったカラヴァッジオに初黒星をつけ、不良馬場スプリントCは逃げて圧勝。父系らしい仕上がり早のスプリンターでシャトル先の豪州でG1馬を出すなど高評価。芝向きでダートは疑問。25年中央ではコウセキが芝1200m2勝クラスで先行馬として活躍。,
ハーツクライ,母の父としての種牡馬 (broodmare-sire feature; stat strip = 出走頭数/勝馬頭数/重賞勝利/EI),サンデーサイレンス系,千歳産,サンデーサイレンスUSA,アイリッシュダンス,トニービンIRE,,,,,芝2000mは単勝回収率263%,25年はG1-3勝を含め重賞13勝。芝刃間わずキンカメ系との破壊力を見せつけられた1年だった。22〜24年で芝のダートの勝利数も拮抗も25年は芝ダで2:1と芝がリード。芝が単勝回収率も100%超え。距離は芝が2000m以上、ダートがマイル以上。騎手は佐々木、丹内。配合相手は大きくキンカネ系とカリフォルニアクローム、モズアスコットが特注。
ハービンジャー,母の父としての種牡馬 (broodmare-sire feature; stat strip = 出走頭数/勝馬頭数/重賞勝利/EI),ダンジグ系,英国産,Dansili,Penang Pearl,Bering,,,,,福島芝は単複回収率180%超,25年は有板馬2頭(レガレイラ、ベラジオオペラ)が芝G1勝利。芝優勢は変わらず、距離は1400〜2000mと守備範囲は広い。ダートは1800m。芝が問わず得意距離の共通として2着が多い。配合相手は芝はドゥラメンテ、レイデオロ、キズナ。ダートカナロアのキンカネ系。ダートはリアルスティール。騎手は戸崎、ルメール、武豊。厩舎は須貝、斎藤誠。
バゴ,注目種牡馬(現役種牡馬 五十音),レッドゴッド系,仏国産,Nashwan,Moonlight's Box,Nureyev,,,,,函館芝1200m(3-2-1-8),ステラヴェローチェは芝7勝、ダート3勝とまずまずだが、25年は芝7勝、ダート3勝とまずまず。ミラージュナイトが夏の札幌で連勝し菊花賞に出走。洋芝の北海道開催は得意で単複回収率も高い。距離は産駒によって様々で、ナスルーラの血が濃いと短距離やダートに出やすい。芝コースでは中京、阪神が得意で中山、新潟、東京が苦手。ダートも不得手。
バトルプラン,注目種牡馬(現役種牡馬 五十音),ファピアノ系,米国産,エンパイアメーカー,Flanders,Seeking the Gold,,,,,芝の重(2-2-0-7),25年は中央1勝に終わるも、高知ではユメノホノオが、秋にコリアグランプリに出走し、1番人気に支持された。馬券の狙いはダートならローカルの1800m以下。芝で狙うなら新潟や東京など直線の長いコース。芝も道悪は得意な部類。単複回収率も高く積極的に狙いたい。母父はSS系とロベルト系。ステイゴールドなど芝中長距離に強いタイプと好相性。
バンドワゴン,注目種牡馬(現役種牡馬 五十音),ヴァイファール系,安平産,ホワイトマズルGB,ピラミマUSA,Unbridled's Song,,,,,中京ダ1800m(1-1-1-5),25年はバンドシェルの2勝クラスでの1勝のみもその後3勝クラスで善戦。産駒は成長力のあるタイプが多く、レースセンスも高い。活躍は以前はダート短距離、芝中距離から最近はダート中距離、芝短距離にシフト。コースも京都、中京、中山、阪神。ほかのコースではほとんど結果が出ていない。母父はSS系。自身と同じ馬場幸夫オーナーの産駒に注目。
バンブーエール,注目種牡馬(現役種牡馬 五十音),ミスタープロスペクター系,荻伏産,アフリートCAN,レインボーウッドGB,Rainbow Quest,,,,,東京ダ1300m(1-2-0-4),25年は中央でマケスギライが東京ダ1300mの1勝クラスを勝利。近年の中央の勝ち鞍はダートの短距離のみで、1600mは長く、1400mでも狙いづらい。しかし1300m以下となると見直すように成績が安定し、人気でも信頼できる。コースは東京、京都、中山など中央場所で強く、福島、小倉は苦手。道悪もよくない。
バーイード,,ダンジグ系,英国産,Sea The Stars,Aghareed,Kingmambo,,,,,輸入種牡馬フクムの半弟で、2022年全欧年度代表馬。どんな位置からでも競馬が出来るレースセンスと優れたスピードを武器に3歳6月のデビューから6つのG1含み10連勝。4歳7月のサセックスSでは日本馬バスラットレオンを一蹴している。父は距離不安を囁かれながらも英国ダービー、凱旋門賞に勝ち、祖母は米芝牝馬チャンピオン。日本の高速馬場に対する適性はありそうだ。,
パドトロワ,注目種牡馬(現役種牡馬 五十音),フォーティナイナー系,千歳産,スウェプトオーヴァーボードUSA,グランパドドゥ,フジキセキ,,,,,京都ダ1400m(1-3-1-6),26年3歳がラストクロップ。25年はその世代からプレセピオが芝短距離の未勝利とつわぶき賞を勝つなど2頭が頭を持ち上がり。芝もダートも短距離専門で、距離はここ5年1700m以上の勝ち鞍なし。京都、函館、新潟といった中央場内のコースでめっぽう強く、阪神は苦手。仕上げは比較的早く2歳戦でも早くから馬券に絡む。母父はND系とSS系。
パレスピア,,ガリレオ系,英国産,Kingman,Beach Frolic,Nayef,3,4,3,,,キングマン譲りの俊敏なスピードでジャックルマロワ賞連覇など欧州マイル戦線を制覇した名マイラー。3歳から4歳にかけてマイルGⅠを次々勝ち、引退までトップマイラーとして君臨。種牡馬としてもセントジェムススプリントSなど勝ち上がりが出ており、本格化初年度から重賞ウィナーを輩出。仏でも産駒が活躍。芝マイル中距離向き活躍。
ビーチパトロール,注目種牡馬(現役種牡馬 五十音),キングマンボ系,米国産,Lemon Drop Kid,Bashful Bertie,Quiet American,,,,,松山騎手(1-3-4-6),26年は産駒が4世代目。その世代から3頭が2歳時に中央で勝ち上がる。2勝クラスでは順調に勝ち上がるものの、そこが壁に。3勝クラスは慎重に見極めたい。勝ち鞍は芝がダートの2倍以上、距離は1800〜2000mで好走率が高い。単複回収率が高いのは1200m。ダートの短距離は苦手。母父のほとんどはSS系。松山騎手と好相性で単複回収率も高い。
ピナトゥボ,,ストームキャット系,愛国産,Shamardal,Lava Flow,Dalakhani,3,3,2,,,2歳時に6戦無敗のヨーロッパ最優秀2歳馬。シャマーダル産駒の快速マイラーで、3歳以降は伸び悩んだが、2歳時には欧州を席巻する強さを誇った快速タイプ。種牡馬としても産駒が走り始め、仕上がりの早いマイラー血で、芝向き。日本にも産駒が輸出されており活躍。
ファー,,ノーザンダンサー系,英国産,Pivotal,Gonbarda,Lando,,,,,2、3歳時は各1戦、4歳5月不敗のまま3勝目。以降はナサニエル、フランケルらが待つG1に挑戦し、5戦2着4回3着1回。5歳初戦のロッキンジSでは中位追走、早め先頭から久々に勝利すると、脚部不安明けの英チャンピオンSも快勝。母はドイツ賞、オイロパ賞勝ち馬とスタミナのある独血統。受胎率の問題で産駒数が限られるなか欧州でマイルG1勝馬を多数輩出。オフトレイルがスワンS勝ち。,
フィレンツェファイア,注目種牡馬(現役種牡馬 五十音),ゴーンウエスト系,米国産,Poseidon's Warrior,My Every Wish,Langfuhr,,,,,芝1200m牝馬(4-0-0-12),26年3歳が初年度産駒。ルージュサウダージが6月に芝1200mの新馬戦をレコードで勝ち、26年年明けの萌黄賞で2勝。早熟のイメージが強いゴーンウエスト系で、自身も2歳重賞を勝っており仕上がりは早そう。25年は芝牝馬、ダートも勝った1頭は牡馬と傾向が分かれる。距離は勝ち鞍まずが芝1200m、先行して押し切るのが勝ちパターン。
フェノーメノ,注目種牡馬(現役種牡馬 五十音),サンデーサイレンス系,平取産,ステイゴールド,ディラローシェIRE,デインヒルUSA,,,,,ダート2400m以上(1-7-4-14),6世代のみの供用で、26年4歳が最終世代。25年はアコークローがラストランとなる2勝クラスの中山ダ2400mを勝利で中央。中央は1勝のみに終わったが、地方ではナッジが南関東の重賞入線記念を勝つなどダート長距離で強さを見せる。中央での狙いもダート長距離で、残る産駒は少ないが狙いたい。芝でも中距離以上なら連下で一考。
フジキセキ,海外の種牡馬,サンデーサイレンス系,千歳産,サンデーサイレンスUSA,ミルレーサーUSA,Le Fabuleux,,,,,25年はペリエール(父ヘニーヒューズ)がエルムSを勝利など芝ダートで芝1:ダ5とダート偏重の傾向がさらに強くなった。距離はダートが全方位型も1200mと2000m超は不振。コースは新潟ダ1800m、小倉ダ1700m。芝は2000m。配合相手はダートがデクラレーションオブウォー、モズアスコット。芝がルーラーシップ。騎手は永島、横山武。,
フライトライン,,エーピーインディ系,米国産,Tapit,Feathered,Indian Charlie,,,,,2022年全米年度代表馬。ファシグ・ティプトン社の1歳セレクトセールにおいて100万ドルで落札。3歳4月のデビュー戦を圧勝した後、骨折の憂き目にあうなどクラシックには縁がなく、わずか6戦のみの競走生活だったが、その合計着差は71馬身差。この年ダート馬史上最高レーティング140ポンドを獲得した。高い身体能力と優れた心肺機能、旺盛な競走欲を併せ持つ伝説の名馬。,
フランケル,,サドラーズウェルズ系,英国産,Galileo,Kind,デインヒルUSA,,,,,10のG1を含む重賞12勝。その多くが2着馬を3馬身以上突き放したもの。26年中山金杯で4連勝中カネラフィーナが4着。OP緒戦のシャイニングソードは日経新春杯8着と人気で敗れるパターンが目に付く。一方でレイベリングが睦月Sを12人気で逃げ切るなど、つかめない一面も。距離はスプリンターと中距離型に二分の傾向は変わらず、ダートはイマイチ。配合相手はミスプロ系と好相性。,
フリオーソ,注目種牡馬(現役種牡馬 五十音),ロベルト系,新冠産,ブライアンズタイムUSA,ファーザUSA,Mr. Prospector,,,,,函館ダ1000m(2-0-2-7),25年はクロジショーがNST賞を勝ちJBCスプリントで5着。地方ではアエノブライアンが九州チャンピオンシップを勝つ。中央では芝の勝ち鞍はなし。ダートは短距離から長距離までこなすが、ホッカイドウ競馬のコースに勝ち鞍が集中。25年2歳がラストクロップとなるが、残された産駒の活躍を期待した。
フレンチデピュティ,母の父としての種牡馬 (broodmare-sire feature; stat strip = 出走頭数/勝馬頭数/重賞勝利/EI),デピュティミニスター系,米国産,Deputy Minister,Mitterand,Hold Your Peace,,,,,芝2200mは複勝率47%,25年はメイショウタバル(父ゴールドシップ)の宝塚記念制覇が光る。22〜24年と比較して25年はダート優勢に。距離は芝が2000と2200m、ダートは1000〜1400mと短めになる。配合相手はダがチェルピアットのロードカナロア、ダートはドレフォン、ルヴァンスレーヴ。厩舎は鈴木伸、宮本、小島茂。
フロステッド,,エーピーインディ系,米国産,Tapit,Fast Cookie,Deputy Minister,,,,,代表産駒トラヴェルコラムのようにダ中距離を好位から力でねじ伏せるのが基本。自身は連勝を重ねるタイプではなく、強さと急成が同居。産駒はまだG1未勝利も、25年は8頭のブラックタイプ勝ち馬を出す。日本では「ジャスパー」クローネ&ノワール、ディビネの芝短距離型、ドラゴンウェルズやゲッティヴィラのダ短距離型に分かれる。早期から活躍できるスピードが魅力。,
ブルーポイント,,ストームキャット系,愛国産,Shamardal,Scarlett Rose,Royal Applause,,,,,先行力を武器に2歳8月シムグラックSで重賞初勝利。4歳6月のキングススタンドSでG1ウイナーの仲間入りを果たし、5歳時には、初日のキングススタンドSと5日目のダイヤモンドジュビリーSの両方を制して史上2頭目となるロイヤルアスコット「スプリントダブル」も達成。芝もダートもこなすスプリンター。日本では唯一の中央勝ち馬マックアルイーンが芝1200m3勝クラスで連対。,
プラクティカルジョーク,,ストームキャット系,米国産,Into Mischief,Halo Humor,Distorted Humor,3,3,3,,,イントゥミスチーフの快速マイラー。2歳時にホープフルSなどを勝ち、3歳でジョークSらでGⅠ級。米で大成功している父の後継として産駒が活躍中。2歳戦から走る快速タイプで、仕上がりの早いマイラー血。芝向き。25年は産駒が活躍し、上昇傾向。ダート中距離まで対応。
プリサイスエンド,注目種牡馬(現役種牡馬 五十音),フォーティナイナー系,米国産,エンドスウィープUSA,Precisely,Summing,,,,,新潟ダ1800m(2-3-5-15),26年6歳がラストクロップ。さすがに中央の現役産駒は少なくなったが、25年はラルカロンニンバスが東京ダ1300mの2勝クラスで12番人気1着と激走するなど存在感を示した。距離は1800mまでならこなすが、マイルを超えると勝ち切れず、2、3着が多くなる。内枠が苦手で、新潟、中京など直線の長いコースでの一発に差しが激走パターン。騎手は菅原明、杉原。
ヘンリーバローズ,注目種牡馬(現役種牡馬 五十音),ディープインパクト系,安平産,ディープインパクト,シルヴァースカヤUSA,Silver Hawk,,,,,京都芝1800m(1-1-1-4),25年は2年目産駒のローランドバローズが1勝クラスから芝中距離で3連勝し、オープン入り。3年目産駒からもストームサンダーがクローバー賞を制した。距離は芝のマイル以上で、京都、阪神コースでは強い、正統派のディープインパクト産駒。道悪は今のところ勝ち鞍がなく、ダートも得意とは言えない。配合相手はキングマンボ系とファビアノ系。
ベストウォーリア,注目種牡馬(現役種牡馬 五十音),エーピーインディ系,米国産,マジェスティックウォリアーUSA,フラーテイシャスミスUSA,Mr. Greeley,,,,,小倉ダ1000m(2-1-2-13),25年はダートで4勝。産駒傾向は2勝止まりが多く、一つの壁となっている。直近では小倉、阪神などが得意で、東京、中京が苦手と他に比べて右回りが得意な傾向に。ただし右回りでも芝スタートのコースは成績がよくない。母父はほとんどがゴールドアリュールやエーピーインディ系といったダートで実績のある種牡馬。
ホークビル,注目種牡馬(現役種牡馬 五十音),サドラーズウェルス系,米国産,Kitten's Joy,Trensa,Giant's Causeway,,,,,札幌芝(1-4-0-9),25年は3世代目のアッカンが2歳未勝利戦と百日草特別を連勝。自身の父Kitten's JoyがジャンダルムをSS系として出すただけに引退が惜しまれる。ダートで狙う場合は母父ゴールドアリュールやヌヴォヴィラスなどダート色の濃い配合に限定。
ボルトドーロ,,サドラーズウェルズ系,米国産,Medaglia d'Oro,Globe Trot,A.P. Indy,,,,,2歳8月のデビュー戦を圧勝後、デルマーフューチュリティは後方から追い上げG1初制覇。本来の先行力を発揮したフロントランナーSは圧勝。サンタアニタダービーはジャスティファイの2着もケンタッキーダービーは大敗。実績はダート中距離だが、この父系は芝への対応力がある。日本では25年フルミネブルがダートマイルで新馬勝ち、フロムダスクは芝マイルで3勝クラス突破。,
ポエティックフレア,注目種牡馬(現役種牡馬 五十音),サドラーズウェルス系,愛国産,Dawn Approach,Maria Lee,ロックオブジブラルタルIRE,,,,,東京芝(3-2-2-5),26年3歳が初年度産駒。25年はその初年度産駒からリアライズシリウスが新馬、新潟2歳Sを連勝するなど、2歳時に芝7勝ダート2勝と上々のスタート。これまでのサドラー系のイメージを払拭する切れ味を見せる。馬券の狙いは芝で、全競馬場で最多の3勝をあげて単複とも回収率が100%超出走は7勝中4勝が箱進。ダートも一発は少ないが成績は悪くない。
マキシマムセキュリティ,,ミスタープロスペクター系,米国産,New Year's Day,Anashed,Cresta Lil,2,1,2,,,米競馬ファンを熱狂させた快速馬。2019年史上3頭目の無敗チャンピオンに輝くも、ケンタッキーダービーでは不可解な降着。地方アガディアダンスなどダート中距離で米サウジで14戦10勝。1位2人気を返済する強さで2026年に産駒デビュー。父譲りの快速がダート短距離向き。芝もこなすがやはりダートが本流。産駒も同様タイプか。
マクリーンズミュージック,,フォーティナイナー系,米国産,Distorted Humor,Forest Music,Unbridled's Song,2,1,3,,,1歳時に90万ドルの高額取引も現役わずか1戦のみのキャリア。そこで圧倒的なスピードを示し、種牡馬としてその快足が花開いた。父Distorted Humorの後継として、北米でも有数のダート快速サイアーに。多くは4頭が勝ち上がる、ダート短距離が向くマイラーアタックが多い活躍馬。芝もこなすが基本ダートで短距離寄り。距離は1200〜1800mと守備範囲は広く、逃げ先行有利。
マッキンジー,,ストームキャット系,米国産,Street Sense,Petionville,Runaway Model,2,,2,,,米GⅠを3勝した一流のスプリンター系。2歳目はキャッシュコールフューチュリティを制し、3歳春マリブSなどGⅠ計3勝、引退まで安定して走った。初年度産駒からシャンペンSを勝つなど早くも活躍馬を出している。ダート短〜中距離向き。
マックスフィールド,,エーピーインディ系,米国産,Street Sense,Velvety,Bernardini,2,1,2,,,追込脚質で2歳7月のデビューから4戦2勝。フューチュリティを制し2歳重賞ウィナーに。3歳で骨折離脱も復帰後はケルソSら計5重賞含む8勝。父Street Sense は内ダ快速で芝もこなす。種牡馬として25年に2歳産駒デビュー。マグナヴィルらの母父が出る1400mで、ダノンバーバ等の母父1800mで2倍2着馬を出す。仕上がり早の万能型で芝もこなすが、産駒はダートが中心か。
マツリダゴッホ,注目種牡馬(現役種牡馬 五十音),サンデーサイレンス系,静内産,サンデーサイレンスUSA,ペイパーレインUSA,Bel Bolide,,,,,鮫島克駿騎手(3-1-2-7),25年はプラチナレアーが障害未勝利を勝つも、平地では未勝利。芝のマイル以上まで消耗戦になって前が崩れたところを中団から脚を伸ばしてくるパターンで馬券に絡む。コースでは自身も活躍した中山が好得意。芝は1400mでも得意。ダートでは1400m以上で、単複回収率も高い。ただし東京だけは苦手なので注意。母父ノーザンダンサー系、ナスルーラ系と好相性。
マテラスカイ,注目種牡馬(現役種牡馬 五十音),ゴーンウエスト系,米国産,Speightstown,Mostaqeleh,Rahy,,,,,中山ダ1200m(2-2-1-8),26年3歳が初年度産駒。25年は芝2勝、ダート4勝とまずまずのスタート。テーオーグレーザーはダート1200mで2頭をあげる。1900mで勝利があるものの、狙いはダート短距離。コースは新潟、東京など左回りの広いコースが不得手。芝も短距離がマイルでならまずまず。母父はダートではSSとミスプロ、芝はSS。
マニングス,,ミスタープロスペクター系,米国産,Speightstown,La Comete,Holy Bull,2,1,2,,,米早熟短距離からマイラーに活躍した上り調子の追い込み馬。2歳時のシャンペンSなど芝でも好走。1400mで勝ち負けしたウディスティーヴンスSなど芝ダート不問の快速タイプ。北米でもダート短距離重賞勝ち馬を出し、距離はマイルまで。ダート向きの快速タイプが多く、産駒が26年は3歳。
マリブムーン,,エーピーインディ系,米国産,A.P. Indy,Macoumba,Mr. Prospector,2,1,3,,,2歳時に米国で2勝目。骨折引退し種牡馬入り。2022年に生まれた世代が躍進的な成功。米国はサクラショウーがBCジュヴナイルSG2を制し、ダート中距離やBMSランキングでも3位など好成績を収める。日本では、引退種牡馬としてオーブ等のダートの短距離向きが多い。自分の競馬ができれば堅いタイプ。
マンハッタンカフェ,母の父としての種牡馬 (broodmare-sire feature; stat strip = 出走頭数/勝馬頭数/重賞勝利/EI),サンデーサイレンス系,千歳産,サンデーサイレンス,サトルチェンジIRE,Law Society,,,,,ダ1200m単複回収率150%超,25年は大将格ソウルラッシュが引退。サンライズアースは芝長距離の重賞戦線で活躍した。25年は芝が優勢でダートとの均衡が崩れる。距離は芝が2400m以上、ダートは1900と2000mの変則に強い。配合相手は芝はモーリス、リオンディーズ。ダートはロードカナロア、ドレフォン。騎手は川田、坂井瑠、横山。厩舎は福永、鈴木慎。
ミスティックガイド,,ノーザンダンサー系,米国産,Ghostzapper,Music Note,A.P. Indy,1,,2,,,ドバイワールドカップを圧勝した一流のダート中距離馬。米やや晩成タイプで、4歳のチャンピオンディスタフを制したり、北米のチャウワイザーらを輩出。GⅠ級が登場している。
ミッキーグローリー,注目種牡馬(現役種牡馬 五十音),ディープインパクト系,新ひだか産,ディープインパクト,メリッサ,ホワイトマズルGB,,,,,ダートの稍重(4-2-1-8),25年は芝3勝、ダート6勝と芝ダ優勢。芝の3勝は全て牡馬、ダートの6勝のうち5勝が牝馬と芝とダートで性別がきっちりと分かれているのが面白い。2年目で成績を伸ばすには勝ち上がりにはやや時間がかかるタイプだが、その分早調期間も長い。距離は芝もダートも1600m以上。芝が稍重の成績が抜群だが、重、不良になると成績が落ちる。
ミッキーロケット,注目種牡馬(現役種牡馬 五十音),キングカメハメハ系,安平産,キングカメハメハ,マネーキャントバイミーラヴIRE,Pivotal,,,,,母父ディープインパクト(15-12-11-45),初年度産駒のミッキーゴージャスが愛知杯を勝つなど好スタートを切ったが、25年はやや低調に終わった。そんな中でもグランアルティスタが2勝クラス、3勝クラスを勝つなど、芝の中距離では存在感を示す。馬券の狙いも芝ダート短距離で、コースは小倉に大注目。一方福島、新潟は苦手。母父はディープインパクトなどクラシックディスタンスに強いSS系。
ミトーリ,,ストームキャット系,米国産,Eskendereya,Indian Miss,Indian Charlie,2,2,,,,エスケンデレヤの直仔でホットロッドチャーリーらの半兄。クラシックには無縁ながら、先行抜けだしという快足タイプ。スプリント路線で米GⅠを4勝。BCスプリントまで制した実力派。25年は3歳牡馬シーマーストイらGⅠ級が登場。エスケンデレヤのイメージとは違い、自身も産駒も短距離向きでスピード抜群。
ミュゼスルタン,注目種牡馬(現役種牡馬 五十音),キングカメハメハ系,千歳産,キングカメハメハ,アスクデピュティ,フレンチデピュティUSA,,,,,福島ダ1700m(2-2-0-6),25年は中央で1勝、地方では大井でカセノタイガーが特別を勝って羽田盃に駒を進め、3歳ダートクラシック三冠に皆勤。ダートは1800m。芝もまずまずだが馬券の狙いはダートならローカルが中心。コースは福島、中山など小回りコースがいい。馬券で走るのはカセノタイガーや中央が新馬勝ちしたタイガードラゴンに共通するアンブライドルドを持つ馬に注目。
メイショウボーラー,注目種牡馬(現役種牡馬 五十音),ヘイロー系,浦河産,タイキシャトルUSA,ナイスレイズUSA,Storm Cat,,,,,札幌ダ1700m(2-1-1-12),26年3歳がラストクロップ。25年は中央は1勝止まりだが、地方ではヴァアラルが園田で4勝、中央から転厩したメイショウヨンクが高知で6勝をあげるなど存在感を示す。馬券の狙いはダートの中距離。出走数が短距離に多いが、複勝率は1700mを境に急に多い。コースは中京、新潟、札幌。騎手は騎乗数の多い団野。
メンデルスゾーン,,ストームキャット系,米国産,Scat Daddy,Leslie's Lady,Tricky Creek,2,,2,,,イントゥミスチーフの全弟で当代有数のBCジュヴナイルターフ、UAEダービー級ウィナー。ケンタッキーダービーは回避したが、ジャスティファイと人気になる大物。ジュヴェナイルからUAEダービーまで2歳〜3歳春にかけて活躍。日本でも産駒が走り始め、2〜3勝クラスを一つ勝てている。
ヤウポン,,グレイソヴリン系,米国,Uncle Mo,Modification,Vindication,3,1,3,,,スピードと加速力、粘着力を武器に3歳7月から2つの重賞含め4連勝。4歳フォアゴーSではフィレンツェファイアから顔をかみ合わされそうになりながらも強い精神力でG1制覇。父譲りの仕上がり早の快足血統。初年度から8頭のステークス勝馬を27月に、セリ平均は早くも30頭以上の勝ち上がり。そのよく歩く姿で大型での圧勝と「2歳戦からの完成度の高さ」が魅力。芝ダート不問の万能の適性も評価されている。
ヤマカツエース,注目種牡馬(現役種牡馬 五十音),キングカメハメハ系,新ひだか産,キングカメハメハ,ヤマカツマリリン,グラスワンダーUSA,,,,,新潟芝2000m(1-1-1-2),25年は2世代目で稼ぎ頭のタガノデュードが芝中距離2勝クラスを勝って、年明けに3勝クラスを突破。ダイシンヤマトも芝マイル3勝クラスを勝つなど産駒のオープン入りが続いた。活躍の舞台は芝のマイル〜中距離。1600m、2000mといった根幹距離を得意とし、1800mは成績がよくない。ダートも苦手。配合相手の母父はハーツクライなど長距離型のSS。
ライフイズグッド,,ストームキャット系,米国産,Into Mischief,Beach Walk,Distorted Humor,2,1,2,,,2歳11月にデビューすると逃げ切り、先行力を武器に2つの重賞を含む3歳春の覇者。ラシックや横綱を含む3歳春の対戦に挑む。日本でも産駒登場。芝もダートもこなす快足タイプで、軽い芝向きが基本。
ラッキーヴェガ,,ストームキャット系,愛国産,Lope de Vega,Queen of Carthage,Cape Cross,2,2,2,,,父はロペデヴェガ、デビュー3戦目フィーニックスSでG本命の200m級で2歳重賞制覇。フェニックスS制覇。ミドルパークSはミドルパークSは2着。芝2000mで本格化したミドルパークでも好走。安定したマイラー血統で日本でも産駒が走り始める。これからのマイラー血統で日本でも活躍。
ラニ,注目種牡馬(現役種牡馬 五十音),エーピーインディ系,米国産,Tapit,ヘヴンリーロマンス,サンデーサイレンスUSA,,,,,小倉ダ1700m(5-3-1-10),25年は中央で3勝。これまでの勝ち鞍はほぼ全てダートで、芝は見送り。地方では東海でフークビグマリオンが名古屋グランプリで中央勢相手に4着と健闘し、総賞金を1億円台に乗せた。タフな馬が多く、レース数を こなすのが強み。距離やコースはまんべんなく走るが特注は小倉。配合相手はミスプロ系がベスト。
ラブリーデイ,注目種牡馬(現役種牡馬 五十音),キングカメハメハ系,安平産,キングカメハメハ,ポップコーンジャズ,ダンスインザダーク,,,,,阪神芝2000m(2-1-0-6),25年は15勝でうち芝が12勝。以前はダートで活躍する産駒もいたが、最近は芝にシフト。本格化はやや遅めなので、勝ち上がった馬の成長に期待。調子が上がると連続好走も目立つ。馬券の狙いは芝の中距離で、2000mを分か端に短距離長距離とも下りない。自身と同じ金子オーナーの所有馬は勝ち鞍こそ多が人気になりやすいため馬券的にはイマイチ。
リアルインパクト,注目種牡馬(現役種牡馬 五十音),ディープインパクト系,安平産,ディープインパクト,トキオリアリティーUSA,Meadowlake,,,,,京都芝1600m(2-1-1-4),25年は芝7勝、ダート8勝。芝はナムラアトムがオープン入り、スウィートハピネスが阪神JFなど楽しみな産駒が揃う。芝は短距離から中距離まで幅広く、特に1400m〜1600mで複勝率が高い。コースは中山と小倉だけが得意で、ダートでは1800mで近5年のダート勝ち鞍の半分近くを量産。母父は芝ダートともにDミニスター、ダンジヒなどのND系。
リアルスマップ,,ノーザンダンサー系,米国産,Unbridled's Song,Miss Macy Sue,Trippi,2,2,2,,,1歳時80万ドルで取引されたデビューは3歳9月。1戦使われた3歳秋に2勝目を挙げたアンビット S は2着もウッドワードSを逃げ切り、引退レースのBCダートマイルも逃げ切り有終の美を飾る。25年は複数産駒が北米G1勝ち。日本ではダート中距離向き。
リトンタイクーン,,ノーザンダンサー系,豪州,Iglesia,Party Miss,Kenmare,1,2,2,,,2015/16年豪2歳チャンピオンサイアー で、20/21年同総合チャンピオンサイアー。現役時代G2勝ちのみだったが、種牡馬として大成功。スニッツェルに代わり首位となり、「2歳戦の王」から「3歳・古馬の短距離スター輩出」へと、その地位をさらに確固にしている。豪州での血を伝えるラストタイクーンの孫らしいスピード馬。芝短距離が活躍の場が多く、マイルまでは対応できそう。
リーチザクラウン,注目種牡馬(現役種牡馬 五十音),サンデーサイレンス系,千歳産,スペシャルウィーク,クラウンピース,Seattle Slew,,,,,新潟ダ1800m(3-2-0-14),25年は中央6勝。アーテルアストレアとクラウンプライドが地方交流重賞で活躍した。中央でも狙いはダートで、近5年はベタ買いでも単勝回収率が100%を大きく上回っており、頭で買いたれた。コースは新潟、中京、阪神が勝率、単複回収率ともに高く、マイルは芝ダ苦手。活躍馬にニジンスキーのクロスを持つ馬が多い。
レインボーライン,注目種牡馬(現役種牡馬 五十音),サンデーサイレンス系,安平産,ステイゴールド,レーゲンボーゲン,フレンチデピュティUSA,,,,,新潟ダ1800m(1-1-0-6),25年は中央ダート2勝のみと苦戦したが、地方ではケンシレインボーが東京湾Cを勝って東京盃に出走。中央への移籍に時間を要するタイプだが、中央での狙いは3歳がで。芝ではまだ勝ち鞍がなく、狙いはダート一本。距離は短距離もし長距離もこなすが、コースは京都や新潟など平坦がベスト。内枠より外枠、重馬場より良馬場、母父はND系とミスプロ系。
レガーロ,注目種牡馬(現役種牡馬 五十音),エーピーインディ系,千歳産,Bernardini,サンタテレジタUSA,Lemon Drop Kid,,,,,サンプル数不足,希少な産駒から25年も中央ではアウトレンジが孤軍奮闘。平安Sを勝ち、帝王賞2着、東京大賞典8着とタイトルにあと一歩ところまで上り詰めた。地方ではエムティビキが善戦するも勝ち切れないという状況だが、産駒数のわりには健闘しており今後もダートで注目。26年2歳がラストクロップ。アウトレンジと同じノーザヒルス産の母ベルドールなどに注目。
